* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 1:51:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_90_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.019 42.361 -76.008
2.355 41.508 -90.022
2.692 39.342 -99.412
3.028 35.221 -105.176
3.365 27.604 -68.018
3.701 33.274 -7.989
4.037 38.526 -2.945
4.374 41.129 -13.894
4.710 42.035 -21.886
5.047 41.514 -31.467
5.383 39.499 -32.092
5.720 37.037 -12.942
6.056 39.162 16.998
6.393 43.255 23.048
6.729 46.147 13.694
7.066 47.877 -0.682
7.402 48.696 -17.790
7.738 48.763 -37.364
8.075 48.176 -58.062
8.411 47.001 -80.904
8.748 45.286 -106.413
9.084 43.031 -130.868
9.421 40.083 -164.651
9.757 35.761 175.600
10.094 27.319 110.936
10.430 28.739 -15.056
10.767 36.533 -75.232
11.103 40.258 -86.813
11.440 42.104 -109.453
11.776 42.613 -122.169
12.112 42.070 -127.296
12.449 41.499 -119.889
12.785 43.247 -104.345
13.122 46.656 -99.116
13.458 49.695 -104.479
13.795 51.922 -115.051
14.131 53.402 -126.814
14.468 54.259 -138.140
14.804 54.635 -147.557
15.141 54.740 -153.782
15.477 54.892 -156.535
15.813 55.422 -156.939
16.150 56.394 -157.494
16.486 57.564 -159.776
16.823 58.661 -163.726
17.159 59.555 -168.249
17.496 60.257 -172.197
17.832 60.875 -174.846
18.169 61.559 -176.155
18.505 62.413 -176.805
18.842 63.429 -177.680
19.178 64.518 -179.288
19.514 65.599 178.429
19.851 66.646 175.789
20.187 67.687 172.982
20.524 68.753 169.881
20.860 69.838 166.150
21.197 70.886 161.536
21.533 71.823 156.102
21.870 72.592 150.266
22.206 73.183 144.684
22.543 73.656 140.028
22.879 74.135 136.650
23.215 74.769 134.234
23.552 75.635 131.829
23.888 76.674 128.411
24.225 77.746 123.506
24.561 78.728 117.318
24.898 79.563 110.418
25.234 80.254 103.400
25.571 80.848 96.652
25.907 81.407 90.261
26.244 81.973 84.036
26.580 82.556 77.669
26.917 83.129 70.933
27.253 83.659 63.777
27.589 84.125 56.287
27.926 84.524 48.562
28.262 84.861 40.600
28.599 85.131 32.291
28.935 85.303 23.506
29.272 85.321 14.243
29.608 85.117 4.773
29.945 84.629 -4.252
30.281 83.836 -11.635
30.618 82.830 -15.670
30.954 81.956 -15.351
31.290 81.802 -12.257
31.627 82.587 -10.294
31.963 83.815 -12.681
32.300 84.949 -19.833
32.636 85.749 -30.258
32.973 86.156 -42.313
33.309 86.183 -54.810
33.646 85.873 -66.882
33.982 85.294 -77.872
34.319 84.540 -87.378
34.655 83.724 -95.367
34.991 82.953 -102.219
35.328 82.279 -108.557
35.664 81.685 -114.902
36.001 81.115 -121.404
36.337 80.538 -127.872
36.674 79.974 -134.055
37.010 79.489 -139.961
37.347 79.145 -145.974
37.683 78.948 -152.667
38.020 78.839 -160.459
38.356 78.728 -169.385
38.692 78.542 -179.111
39.029 78.247 170.906
39.365 77.838 161.256
39.702 77.344 152.465
40.038 76.810 144.948
40.375 76.303 138.971
40.711 75.905 134.596
41.048 75.707 131.602
41.384 75.784 129.437
41.721 76.145 127.330
42.057 76.716 124.555
42.393 77.376 120.707
42.730 78.010 115.801
43.066 78.544 110.178
43.403 78.946 104.324
43.739 79.221 98.708
44.076 79.400 93.677
44.412 79.528 89.403
44.749 79.651 85.875
45.085 79.803 82.950
45.422 80.000 80.425
45.758 80.243 78.109
46.095 80.520 75.859
46.431 80.816 73.582
46.767 81.110 71.236
47.104 81.383 68.836
47.440 81.618 66.471
47.777 81.805 64.297
48.113 81.951 62.506
48.450 82.080 61.261
48.786 82.229 60.619
49.123 82.438 60.492
49.459 82.731 60.668
49.796 83.110 60.892
50.132 83.558 60.963
50.468 84.050 60.785
50.805 84.566 60.359
51.141 85.097 59.727
51.478 85.640 58.927
51.814 86.197 57.967
52.151 86.766 56.834
52.487 87.344 55.516
52.824 87.928 54.010
53.160 88.519 52.318
53.497 89.117 50.428
53.833 89.724 48.300
54.169 90.333 45.875
54.506 90.933 43.093
54.842 91.508 39.924
55.179 92.037 36.389
55.515 92.507 32.570
55.852 92.906 28.596
56.188 93.234 24.620
56.525 93.498 20.798
56.861 93.714 17.251
57.198 93.906 14.049
57.534 94.098 11.187
57.870 94.311 8.585
58.207 94.559 6.104
58.543 94.842 3.578
58.880 95.149 0.858
59.216 95.457 -2.153
59.553 95.741 -5.476
59.889 95.978 -9.051
60.226 96.153 -12.748
60.562 96.258 -16.390
60.899 96.299 -19.783
61.235 96.292 -22.753
61.572 96.266 -25.195
61.908 96.256 -27.097
62.244 96.296 -28.560
62.581 96.409 -29.771
62.917 96.602 -30.953
63.254 96.862 -32.303
63.590 97.169 -33.960
63.927 97.501 -35.988
64.263 97.837 -38.396
64.600 98.164 -41.159
64.936 98.469 -44.237
65.273 98.744 -47.581
65.609 98.982 -51.131
65.945 99.178 -54.818
66.282 99.333 -58.568
66.618 99.449 -62.313
66.955 99.533 -66.003
67.291 99.593 -69.616
67.628 99.635 -73.154
67.964 99.664 -76.642
68.301 99.681 -80.110
68.637 99.685 -83.578
68.974 99.673 -87.057
69.310 99.641 -90.540
69.646 99.587 -94.011
69.983 99.511 -97.452
70.319 99.413 -100.847
70.656 99.293 -104.183
70.992 99.150 -107.447
71.329 98.984 -110.622
71.665 98.795 -113.683
72.002 98.585 -116.603
72.338 98.354 -119.351
72.675 98.108 -121.902
73.011 97.852 -124.240
73.347 97.592 -126.358
73.684 97.333 -128.266
74.020 97.082 -129.978
74.357 96.842 -131.517
74.693 96.617 -132.905
75.030 96.410 -134.163
75.366 96.222 -135.313
75.703 96.056 -136.377
76.039 95.915 -137.383
76.376 95.802 -138.368
76.712 95.717 -139.378
77.048 95.660 -140.461
77.385 95.629 -141.670
77.721 95.617 -143.050
78.058 95.620 -144.642
78.394 95.629 -146.483
78.731 95.635 -148.598
79.067 95.628 -151.004
79.404 95.596 -153.703
79.740 95.525 -156.672
80.077 95.404 -159.862
80.413 95.222 -163.193
80.750 94.971 -166.556
81.086 94.647 -169.828
81.422 94.251 -172.881
81.759 93.789 -175.596
82.095 93.271 -177.880
82.432 92.712 -179.676
82.768 92.126 179.037
83.105 91.528 178.251
83.441 90.932 177.939
83.778 90.347 178.069
84.114 89.779 178.619
84.451 89.235 179.578
84.787 88.722 -179.061
85.123 88.250 -177.309
85.460 87.830 -175.195
85.796 87.476 -172.777
86.133 87.202 -170.141
86.469 87.014 -167.393
86.806 86.916 -164.650
87.142 86.903 -162.020
87.479 86.966 -159.602
87.815 87.092 -157.470
88.152 87.266 -155.676
88.488 87.474 -154.245
88.824 87.703 -153.180
89.161 87.942 -152.466
89.497 88.183 -152.080
89.834 88.421 -151.999
90.170 88.652 -152.202
90.507 88.870 -152.675
90.843 89.071 -153.402
91.180 89.249 -154.362
91.516 89.400 -155.521
91.853 89.518 -156.838
92.189 89.602 -158.262
92.525 89.652 -159.741
92.862 89.668 -161.227
93.198 89.653 -162.674
93.535 89.609 -164.045
93.871 89.541 -165.306
94.208 89.453 -166.431
94.544 89.351 -167.399
94.881 89.239 -168.199
95.217 89.124 -168.825
95.554 89.011 -169.283
95.890 88.905 -169.578
96.227 88.811 -169.721
96.563 88.734 -169.727
96.899 88.679 -169.610
97.236 88.651 -169.397
97.572 88.657 -169.124
97.909 88.701 -168.843
98.245 88.785 -168.620
98.582 88.908 -168.526
98.918 89.063 -168.636
99.255 89.241 -169.008
99.591 89.431 -169.682
99.928 89.622 -170.675
100.264 89.801 -171.980
100.600 89.961 -173.571
100.937 90.095 -175.413
101.273 90.197 -177.465
101.610 90.265 -179.683
101.946 90.297 177.978
102.283 90.292 175.563
102.619 90.250 173.116
102.956 90.173 170.674
103.292 90.064 168.268
103.629 89.927 165.913
103.965 89.765 163.617
104.301 89.578 161.376
104.638 89.369 159.192
104.974 89.135 157.071
105.311 88.875 155.033
105.647 88.588 153.105
105.984 88.275 151.318
106.320 87.939 149.696
106.657 87.583 148.252
106.993 87.213 146.983
107.330 86.830 145.877
107.666 86.436 144.922
108.002 86.033 144.106
108.339 85.618 143.427
108.675 85.190 142.889
109.012 84.748 142.498
109.348 84.291 142.266
109.685 83.817 142.206
110.021 83.324 142.342
110.358 82.811 142.705
110.694 82.277 143.345
111.031 81.719 144.321
111.367 81.141 145.701
111.703 80.547 147.554
112.040 79.944 149.947
112.376 79.346 152.936
112.713 78.769 156.560
113.049 78.240 160.823
113.386 77.791 165.680
113.722 77.462 171.016
114.059 77.288 176.650
114.395 77.290 -177.654
114.732 77.466 -172.152
115.068 77.790 -167.081
115.405 78.221 -162.622
115.741 78.715 -158.880
116.077 79.234 -155.887
116.414 79.751 -153.608
116.750 80.244 -151.969
117.087 80.703 -150.865
117.423 81.118 -150.182
117.760 81.488 -149.798
118.096 81.814 -149.599
118.433 82.101 -149.481
118.769 82.356 -149.363
119.106 82.587 -149.191
119.442 82.802 -148.934
119.778 83.010 -148.585
120.115 83.215 -148.146
120.451 83.422 -147.623
120.788 83.635 -147.022
121.124 83.861 -146.351
121.461 84.105 -145.625
121.797 84.371 -144.873
122.134 84.663 -144.135
122.470 84.981 -143.457
122.807 85.323 -142.888
123.143 85.684 -142.467
123.479 86.060 -142.223
123.816 86.445 -142.171
124.152 86.836 -142.320
124.489 87.229 -142.672
124.825 87.620 -143.227
125.162 88.008 -143.982
125.498 88.388 -144.931
125.835 88.759 -146.067
126.171 89.119 -147.385
126.508 89.465 -148.875
126.844 89.797 -150.532
127.180 90.111 -152.348
127.517 90.407 -154.314
127.853 90.682 -156.420
128.190 90.933 -158.653
128.526 91.160 -160.999
128.863 91.361 -163.442
129.199 91.535 -165.962
129.536 91.681 -168.538
129.872 91.799 -171.151
130.209 91.889 -173.776
130.545 91.950 -176.391
130.882 91.986 -178.977
131.218 91.996 178.487
131.554 91.983 176.016
131.891 91.949 173.621
132.227 91.896 171.314
132.564 91.826 169.103
132.900 91.741 166.992
133.237 91.643 164.985
133.573 91.535 163.085
133.910 91.418 161.291
134.246 91.295 159.599
134.583 91.167 158.008
134.919 91.036 156.511
135.255 90.902 155.105
135.592 90.767 153.785
135.928 90.630 152.549
136.265 90.493 151.393
136.601 90.357 150.317
136.938 90.221 149.318
137.274 90.087 148.395
137.611 89.955 147.545
137.947 89.827 146.765
138.284 89.702 146.049
138.620 89.582 145.393
138.956 89.467 144.791
139.293 89.357 144.236
139.629 89.254 143.722
139.966 89.157 143.245
140.302 89.067 142.799
140.639 88.984 142.376
140.975 88.909 141.971
141.312 88.841 141.572
141.648 88.783 141.172
141.985 88.732 140.758
142.321 88.688 140.322
142.657 88.652 139.855
142.994 88.620 139.351
143.330 88.592 138.808
143.667 88.566 138.225
144.003 88.542 137.605
144.340 88.518 136.949
144.676 88.495 136.264
145.013 88.471 135.553
145.349 88.447 134.819
145.686 88.422 134.065
146.022 88.398 133.291
146.358 88.375 132.497
146.695 88.352 131.680
147.031 88.331 130.835
147.368 88.311 129.954
147.704 88.292 129.029
148.041 88.273 128.051
148.377 88.252 127.011
148.714 88.228 125.905
149.050 88.200 124.726
149.387 88.163 123.475
149.723 88.117 122.153
150.060 88.059 120.767
150.396 87.986 119.327
150.732 87.895 117.849
151.069 87.785 116.354
151.405 87.653 114.870
151.742 87.499 113.427
152.078 87.323 112.059
152.415 87.124 110.802
152.751 86.906 109.689
153.088 86.672 108.752
153.424 86.424 108.016
153.761 86.170 107.499
154.097 85.915 107.211
154.433 85.667 107.150
154.770 85.435 107.300
155.106 85.226 107.635
155.443 85.049 108.118
155.779 84.908 108.703
156.116 84.809 109.343
156.452 84.752 109.989
156.789 84.738 110.596
157.125 84.765 111.121
157.462 84.830 111.530
157.798 84.930 111.790
158.134 85.060 111.872
158.471 85.216 111.752
158.807 85.394 111.405
159.144 85.590 110.812
159.480 85.798 109.953
