* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 2:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_b_135_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.019 41.245 -138.481
2.355 35.681 -146.244
2.692 36.522 40.726
3.028 44.252 55.826
3.365 47.275 -9.792
3.701 47.934 7.086
4.037 46.064 -32.943
4.374 40.611 -1.805
4.710 42.102 49.545
5.047 49.025 70.107
5.383 52.571 46.876
5.720 54.159 39.490
6.056 54.264 13.889
6.393 52.906 6.259
6.729 49.650 -25.635
7.066 42.607 -19.646
7.402 33.046 90.679
7.738 44.174 110.323
8.075 47.075 79.250
8.411 47.055 67.466
8.748 44.718 46.517
9.084 39.191 23.783
9.421 26.716 -61.222
9.757 34.843 -157.333
10.094 37.398 175.631
10.430 35.823 -171.267
10.767 35.639 -137.668
11.103 40.611 -112.662
11.440 44.159 -114.227
11.776 45.945 -121.153
12.112 46.528 -126.375
12.449 46.460 -128.789
12.785 46.395 -127.004
13.122 46.766 -125.234
13.458 47.365 -126.413
13.795 47.741 -131.124
14.131 47.666 -137.206
14.468 47.182 -141.789
14.804 46.642 -142.245
15.141 46.734 -138.330
15.477 47.935 -133.894
15.813 49.874 -132.884
16.150 51.966 -135.822
16.486 53.926 -141.139
16.823 55.677 -147.542
17.159 57.204 -154.316
17.496 58.511 -161.022
17.832 59.610 -167.358
18.169 60.525 -173.066
18.505 61.298 -177.975
18.842 61.973 177.998
19.178 62.602 174.863
19.514 63.236 172.593
19.851 63.946 171.059
20.187 64.806 169.863
20.524 65.850 168.280
20.860 67.023 165.519
21.197 68.202 161.154
21.533 69.255 155.340
21.870 70.094 148.712
22.206 70.697 142.166
22.543 71.117 136.628
22.879 71.494 132.715
23.215 72.016 130.266
23.552 72.811 128.229
23.888 73.833 125.299
24.225 74.916 120.784
24.561 75.908 114.865
24.898 76.741 108.215
25.234 77.423 101.530
25.571 78.018 95.225
25.907 78.601 89.313
26.244 79.222 83.466
26.580 79.875 77.254
26.917 80.518 70.401
27.253 81.102 62.890
27.589 81.599 54.876
27.926 82.006 46.516
28.262 82.328 37.851
28.599 82.563 28.795
28.935 82.683 19.222
29.272 82.634 9.116
29.608 82.343 -1.288
29.945 81.742 -11.402
30.281 80.782 -20.087
30.618 79.503 -25.412
30.954 78.185 -25.597
31.290 77.506 -21.542
31.627 77.984 -17.576
31.963 79.147 -18.125
32.300 80.279 -24.295
32.636 81.055 -34.419
32.973 81.408 -46.454
33.309 81.363 -59.002
33.646 80.983 -71.121
33.982 80.360 -82.176
34.319 79.612 -91.907
34.655 78.865 -100.518
34.991 78.209 -108.589
35.328 77.652 -116.748
35.664 77.139 -125.282
36.001 76.613 -133.979
36.337 76.067 -142.299
36.674 75.573 -149.784
37.010 75.258 -156.459
37.347 75.225 -162.936
37.683 75.462 -170.062
38.020 75.851 -178.401
38.356 76.252 172.051
38.692 76.564 161.747
39.029 76.739 151.318
39.365 76.770 141.360
39.702 76.673 132.354
40.038 76.484 124.653
40.375 76.250 118.494
40.711 76.033 113.993
41.048 75.914 111.073
41.384 75.977 109.376
41.721 76.270 108.258
42.057 76.771 106.970
42.393 77.388 104.952
42.730 78.014 102.036
43.066 78.567 98.445
43.403 79.009 94.624
43.739 79.348 91.043
44.076 79.622 88.033
44.412 79.888 85.697
44.749 80.195 83.895
45.085 80.567 82.338
45.422 80.997 80.720
45.758 81.453 78.845
46.095 81.901 76.662
46.431 82.316 74.242
46.767 82.685 71.716
47.104 83.004 69.223
47.440 83.280 66.888
47.777 83.524 64.805
48.113 83.753 63.034
48.450 83.984 61.586
48.786 84.235 60.430
49.123 84.519 59.490
49.459 84.843 58.676
49.796 85.208 57.895
50.132 85.611 57.071
50.468 86.046 56.145
50.805 86.506 55.075
51.141 86.985 53.832
51.478 87.473 52.403
51.814 87.963 50.796
52.151 88.450 49.043
52.487 88.933 47.190
52.824 89.416 45.274
53.160 89.909 43.299
53.497 90.420 41.222
53.833 90.951 38.953
54.169 91.495 36.383
54.506 92.035 33.422
54.842 92.548 30.030
55.179 93.013 26.236
55.515 93.411 22.137
55.852 93.732 17.878
56.188 93.974 13.630
56.525 94.144 9.558
56.861 94.260 5.797
57.198 94.344 2.425
57.534 94.422 -0.554
57.870 94.518 -3.212
58.207 94.648 -5.681
58.543 94.815 -8.122
58.880 95.010 -10.685
59.216 95.214 -13.470
59.553 95.405 -16.506
59.889 95.560 -19.748
60.226 95.665 -23.084
60.562 95.711 -26.354
60.899 95.702 -29.378
61.235 95.654 -31.993
61.572 95.594 -34.094
61.908 95.556 -35.671
62.244 95.574 -36.826
62.581 95.672 -37.749
62.917 95.854 -38.673
63.254 96.108 -39.805
63.590 96.411 -41.283
63.927 96.737 -43.168
64.263 97.066 -45.455
64.600 97.383 -48.108
64.936 97.679 -51.081
65.273 97.944 -54.325
65.609 98.174 -57.785
65.945 98.363 -61.398
66.282 98.510 -65.094
66.618 98.618 -68.806
66.955 98.693 -72.480
67.291 98.743 -76.093
67.628 98.773 -79.648
67.964 98.789 -83.170
68.301 98.790 -86.691
68.637 98.774 -90.230
68.974 98.737 -93.785
69.310 98.674 -97.336
69.646 98.585 -100.853
69.983 98.471 -104.308
70.319 98.332 -107.682
70.656 98.172 -110.969
70.992 97.992 -114.166
71.329 97.790 -117.266
71.665 97.566 -120.254
72.002 97.320 -123.103
72.338 97.053 -125.781
72.675 96.769 -128.260
73.011 96.472 -130.518
73.347 96.168 -132.547
73.684 95.864 -134.352
74.020 95.565 -135.944
74.357 95.277 -137.344
74.693 95.002 -138.574
75.030 94.745 -139.657
75.366 94.508 -140.618
75.703 94.293 -141.483
76.039 94.103 -142.281
76.376 93.940 -143.049
76.712 93.803 -143.830
77.048 93.693 -144.671
77.385 93.606 -145.619
77.721 93.535 -146.715
78.058 93.474 -147.989
78.394 93.415 -149.459
78.731 93.349 -151.133
79.067 93.267 -153.010
79.404 93.160 -155.080
79.740 93.019 -157.313
80.077 92.831 -159.655
80.413 92.590 -162.021
80.750 92.288 -164.296
81.086 91.924 -166.348
81.422 91.504 -168.042
81.759 91.041 -169.271
82.095 90.551 -169.974
82.432 90.056 -170.141
82.768 89.577 -169.814
83.105 89.132 -169.068
83.441 88.731 -167.987
83.778 88.381 -166.646
84.114 88.084 -165.107
84.451 87.841 -163.417
84.787 87.656 -161.624
85.123 87.528 -159.776
85.460 87.461 -157.931
85.796 87.451 -156.151
86.133 87.496 -154.496
86.469 87.589 -153.020
86.806 87.722 -151.764
87.142 87.886 -150.757
87.479 88.072 -150.012
87.815 88.271 -149.527
88.152 88.476 -149.290
88.488 88.682 -149.280
88.824 88.885 -149.471
89.161 89.085 -149.843
89.497 89.279 -150.383
89.834 89.466 -151.088
90.170 89.646 -151.958
90.507 89.813 -152.994
90.843 89.963 -154.188
91.180 90.093 -155.524
91.516 90.199 -156.970
91.853 90.279 -158.492
92.189 90.332 -160.053
92.525 90.361 -161.621
92.862 90.367 -163.168
93.198 90.352 -164.672
93.535 90.318 -166.113
93.871 90.268 -167.471
94.208 90.207 -168.732
94.544 90.139 -169.888
94.881 90.067 -170.940
95.217 89.998 -171.898
95.554 89.934 -172.780
95.890 89.877 -173.603
96.227 89.829 -174.382
96.563 89.789 -175.124
96.899 89.761 -175.836
97.236 89.746 -176.527
97.572 89.747 -177.212
97.909 89.767 -177.919
98.245 89.808 -178.686
98.582 89.869 -179.557
98.918 89.946 179.424
99.255 90.035 178.221
99.591 90.127 176.811
99.928 90.216 175.183
100.264 90.295 173.338
100.600 90.359 171.288
100.937 90.400 169.052
101.273 90.415 166.655
101.610 90.400 164.130
101.946 90.353 161.515
102.283 90.272 158.851
102.619 90.158 156.176
102.956 90.014 153.520
103.292 89.842 150.902
103.629 89.647 148.329
103.965 89.430 145.797
104.301 89.193 143.298
104.638 88.937 140.827
104.974 88.660 138.383
105.311 88.362 135.975
105.647 88.041 133.616
105.984 87.698 131.320
106.320 87.333 129.098
106.657 86.949 126.957
106.993 86.547 124.895
107.330 86.129 122.906
107.666 85.696 120.981
108.002 85.248 119.108
108.339 84.784 117.273
108.675 84.304 115.462
109.012 83.806 113.660
109.348 83.287 111.849
109.685 82.744 110.011
110.021 82.172 108.129
110.358 81.565 106.186
110.694 80.918 104.162
111.031 80.222 102.032
111.367 79.468 99.753
111.703 78.649 97.252
112.040 77.750 94.395
112.376 76.760 90.944
112.713 75.662 86.502
113.049 74.438 80.451
113.386 73.077 71.976
113.722 71.584 60.235
114.059 70.024 44.713
114.395 68.607 25.642
114.732 67.758 4.217
115.068 67.881 -17.616
115.405 68.866 -37.772
115.741 70.245 -54.716
116.077 71.670 -67.838
116.414 72.998 -77.379
116.750 74.197 -84.066
117.087 75.273 -88.721
117.423 76.245 -92.038
117.760 77.134 -94.507
118.096 77.957 -96.455
118.433 78.726 -98.094
118.769 79.450 -99.568
119.106 80.134 -100.972
119.442 80.780 -102.367
119.778 81.393 -103.781
120.115 81.975 -105.224
120.451 82.531 -106.693
120.788 83.064 -108.188
121.124 83.579 -109.714
121.461 84.078 -111.283
121.797 84.561 -112.914
122.134 85.027 -114.624
122.470 85.475 -116.423
122.807 85.904 -118.312
123.143 86.312 -120.287
123.479 86.699 -122.339
123.816 87.066 -124.459
124.152 87.413 -126.640
124.489 87.740 -128.875
124.825 88.049 -131.162
125.162 88.338 -133.495
125.498 88.609 -135.873
125.835 88.862 -138.297
126.171 89.098 -140.769
126.508 89.316 -143.295
126.844 89.514 -145.880
127.180 89.692 -148.526
127.517 89.848 -151.229
127.853 89.979 -153.980
128.190 90.084 -156.766
128.526 90.164 -159.569
128.863 90.216 -162.373
129.199 90.243 -165.161
129.536 90.244 -167.916
129.872 90.219 -170.622
130.209 90.169 -173.263
130.545 90.095 -175.822
130.882 89.999 -178.282
131.218 89.881 179.370
131.554 89.744 177.146
131.891 89.590 175.056
132.227 89.421 173.105
132.564 89.240 171.298
132.900 89.047 169.637
133.237 88.846 168.122
133.573 88.638 166.753
133.910 88.426 165.529
134.246 88.210 164.447
134.583 87.993 163.502
134.919 87.776 162.691
135.255 87.562 162.008
135.592 87.350 161.448
135.928 87.144 161.005
136.265 86.944 160.674
136.601 86.751 160.447
136.938 86.567 160.321
137.274 86.392 160.291
137.611 86.229 160.353
137.947 86.077 160.501
138.284 85.940 160.728
138.620 85.819 161.021
138.956 85.716 161.367
139.293 85.631 161.747
139.629 85.565 162.144
139.966 85.518 162.540
140.302 85.488 162.920
140.639 85.475 163.270
140.975 85.477 163.578
141.312 85.491 163.831
141.648 85.517 164.020
141.985 85.550 164.137
142.321 85.589 164.180
142.657 85.632 164.149
142.994 85.674 164.052
143.330 85.716 163.898
143.667 85.757 163.697
144.003 85.795 163.460
144.340 85.832 163.195
144.676 85.868 162.907
145.013 85.903 162.600
145.349 85.939 162.275
145.686 85.977 161.929
146.022 86.015 161.561
146.358 86.056 161.167
146.695 86.098 160.742
147.031 86.142 160.285
147.368 86.186 159.790
147.704 86.231 159.257
148.041 86.275 158.680
148.377 86.318 158.060
148.714 86.358 157.396
149.050 86.394 156.692
149.387 86.423 155.953
149.723 86.446 155.187
150.060 86.461 154.407
150.396 86.467 153.626
150.732 86.464 152.859
151.069 86.452 152.123
151.405 86.434 151.436
151.742 86.409 150.814
152.078 86.383 150.272
152.415 86.358 149.819
152.751 86.339 149.457
153.088 86.332 149.177
153.424 86.342 148.959
153.761 86.373 148.776
154.097 86.427 148.594
154.433 86.506 148.375
154.770 86.610 148.079
155.106 86.734 147.672
155.443 86.877 147.123
155.779 87.033 146.407
156.116 87.199 145.509
156.452 87.368 144.420
156.789 87.538 143.138
157.125 87.705 141.668
157.462 87.867 140.015
157.798 88.021 138.185
158.134 88.166 136.183
158.471 88.302 134.012
158.807 88.426 131.675
159.144 88.537 129.169
159.480 88.634 126.495
159.817 88.715 123.651
